调仓日,证券代码
2019/10/31,2799.HK
2019/10/31,0152.HK
2019/10/31,0604.HK
2019/10/31,1169.HK
2019/10/31,1071.HK
2019/10/31,1508.HK
2019/10/31,0548.HK
2019/10/31,0631.HK
2019/11/29,1310.HK
2019/11/29,1052.HK
2019/11/29,1308.HK
2019/11/29,0291.HK
2019/11/29,0551.HK
2019/11/29,1816.HK
2019/11/29,0817.HK
2019/11/29,1128.HK
2019/11/29,0788.HK
2019/11/29,2380.HK
2019/11/29,0008.HK
2019/11/29,0604.HK
2019/11/29,1071.HK
2019/11/29,1513.HK
2019/11/29,0168.HK
2019/11/29,0173.HK
2019/11/29,2601.HK
2019/11/29,1919.HK
2019/11/29,2269.HK
2019/11/29,0151.HK
2019/11/29,0868.HK
2019/11/29,0200.HK
2019/11/29,1299.HK
2019/11/29,1658.HK
2019/11/29,0881.HK
2019/11/29,0341.HK
2019/11/29,3618.HK
2019/11/29,1169.HK
2019/11/29,2319.HK
2019/11/29,0242.HK
2019/12/31,2628.HK
2019/12/31,1310.HK
2019/12/31,0604.HK
2019/12/31,1658.HK
2019/12/31,1918.HK
2019/12/31,0291.HK
2019/12/31,1128.HK
2019/12/31,1816.HK
2019/12/31,1398.HK
2019/12/31,2601.HK
2019/12/31,2380.HK
2019/12/31,2313.HK
2019/12/31,0636.HK
2019/12/31,0173.HK
2019/12/31,1070.HK
2019/12/31,0881.HK
2019/12/31,0902.HK
2019/12/31,0168.HK
2019/12/31,1109.HK
2019/12/31,2319.HK
2019/12/31,1919.HK
2019/12/31,0880.HK
2019/12/31,2282.HK
2019/12/31,0817.HK
2019/12/31,0966.HK
2019/12/31,1898.HK
2019/12/31,3933.HK
2019/12/31,2588.HK
2019/12/31,0016.HK
2019/12/31,1052.HK
2019/2/28,0386.HK
2019/2/28,0883.HK
2019/2/28,1883.HK
2019/2/28,0054.HK
2019/2/28,0548.HK
2019/2/28,3328.HK
2019/2/28,0941.HK
2019/2/28,0016.HK
2019/2/28,2338.HK
2019/2/28,2588.HK
2019/2/28,0002.HK
2019/2/28,0916.HK
2019/2/28,0003.HK
2019/2/28,1113.HK
2019/2/28,1918.HK
2019/2/28,1966.HK
2019/2/28,1997.HK
2019/2/28,0902.HK
2019/2/28,2233.HK
2019/2/28,2331.HK
2019/2/28,2318.HK
2019/2/28,2269.HK
2019/2/28,1089.HK
2019/2/28,2005.HK
2019/2/28,0087.HK
2019/2/28,0683.HK
2019/2/28,0762.HK
2019/2/28,0857.HK
2019/2/28,0165.HK
2019/2/28,0101.HK
2019/3/29,0883.HK
2019/3/29,1052.HK
2019/3/29,1313.HK
2019/3/29,0788.HK
2019/3/29,0902.HK
2019/3/29,0586.HK
2019/3/29,2386.HK
2019/3/29,2588.HK
2019/3/29,0683.HK
2019/3/29,1997.HK
2019/3/29,1918.HK
2019/3/29,0386.HK
2019/3/29,2338.HK
2019/3/29,0762.HK
2019/3/29,1113.HK
2019/3/29,1928.HK
2019/3/29,2319.HK
2019/3/29,0921.HK
2019/3/29,1883.HK
2019/3/29,0135.HK
2019/3/29,0384.HK
2019/3/29,0669.HK
2019/3/29,0960.HK
2019/3/29,2331.HK
2019/3/29,3606.HK
2019/3/29,0916.HK
2019/3/29,6088.HK
2019/3/29,0123.HK
2019/3/29,1658.HK
2019/3/29,3323.HK
2019/4/26,2338.HK
2019/4/26,0267.HK
2019/4/26,0728.HK
2019/4/26,2319.HK
2019/4/26,0762.HK
2019/4/26,1918.HK
2019/4/26,0669.HK
2019/4/26,0493.HK
2019/4/26,0548.HK
2019/4/26,1157.HK
2019/4/26,2331.HK
2019/4/26,0857.HK
2019/4/26,0535.HK
2019/4/26,0011.HK
2019/4/26,0003.HK
2019/4/26,0874.HK
2019/4/26,6098.HK
2019/4/26,1071.HK
2019/4/26,0177.HK
2019/4/26,1336.HK
2019/4/26,1070.HK
2019/4/26,1310.HK
2019/4/26,1658.HK
2019/4/26,0883.HK
2019/4/26,2601.HK
2019/4/26,0631.HK
2019/4/26,1717.HK
2019/4/26,1997.HK
2019/4/26,1898.HK
2019/4/26,0788.HK
2019/5/31,6098.HK
2019/5/31,1918.HK
2019/5/31,0762.HK
2019/5/31,0267.HK
2019/5/31,0548.HK
2019/5/31,0003.HK
2019/5/31,0493.HK
2019/5/31,2319.HK
2019/5/31,1157.HK
2019/5/31,1052.HK
2019/5/31,0960.HK
2019/5/31,0535.HK
2019/5/31,1898.HK
2019/5/31,2331.HK
2019/5/31,3301.HK
2019/5/31,0552.HK
2019/5/31,1806.HK
2019/5/31,3883.HK
2019/5/31,0883.HK
2019/5/31,0386.HK
2019/5/31,2588.HK
2019/5/31,1928.HK
2019/5/31,2233.HK
2019/5/31,0220.HK
2019/5/31,0168.HK
2019/5/31,1766.HK
2019/5/31,0546.HK
2019/5/31,1070.HK
2019/5/31,0388.HK
2019/5/31,1038.HK
2019/6/28,0358.HK
2019/6/28,0960.HK
2019/6/28,0883.HK
